rank,brand,origin_region,positioning,business_model,primary_beverage_category,hero_products,shop_count,shop_share_pct,city_count,zip_count,first_seen_year,latest_seen_year
33,Chayan,Mainland China,Chinese-style tea brand,Direct/partner,PureTea,tea latte/pure tea,1,0.72,1,1,,
34,Comebuy Tea,Taiwan,Tea chain with fruit tea and milk tea mix,Franchise/select,FruitTea,fruit tea/milk tea,1,0.72,1,1,2024.0,2024.0
35,Drink T,Local/Regional,Tea-focused independent concept,Independent,FruitTea,fruit tea/milk tea,1,0.72,1,1,2023.0,2023.0
36,Feng Cha,Mainland China style,Fruit tea and milk tea concept,Partner/store growth,FruitTea,fruit tea/milk tea,1,0.72,1,1,2023.0,2023.0
37,Gong Cha,Taiwan,Global tea franchise with strong urban mall footprint,Franchise-heavy,MilkTea,milk tea/fruit tea,1,0.72,1,1,2025.0,2025.0
38,Hi Tea Cafe,Local/Regional,Tea cafe concept,Independent,MilkTea,milk tea/fruit tea,1,0.72,1,1,2019.0,2019.0
39,Jay Tea,Local/Regional,Tea-focused independent concept,Independent,MilkTea,milk tea/fruit tea,1,0.72,1,1,2024.0,2024.0
40,JinJin Matcha,Local/Regional,Matcha specialty concept,Independent,Matcha,matcha drinks,1,0.72,1,1,,
41,Kung Fu Tea,United States (Taiwan-style),Large US chain focused on milk tea and customization,Franchise-heavy,MilkTea,milk tea/customized sugar-ice,1,0.72,1,1,2024.0,2024.0
42,Matcha Man,Local/Regional,Matcha dessert and beverage concept,Independent,Matcha,matcha ice cream/matcha drinks,1,0.72,1,1,2022.0,2022.0
43,Mauritius Brown Bubble Tea,Local/Regional,Tea-forward boba concept with brown sugar focus,Independent,MilkTea,brown sugar boba,1,0.72,1,1,2020.0,2020.0
44,Miss Boba,Local/Regional,Independent boba-focused shop,Independent,MilkTea,boba milk tea,1,0.72,1,1,2021.0,2021.0
45,Moge Tee,Mainland China,Cheese tea and fruit tea specialist,Franchise/select,CheeseTea,cheese tea/fruit tea,1,0.72,1,1,2019.0,2019.0
46,Molly Tea,Mainland China,Jasmine-led floral tea specialist,Direct/partner,PureTea,jasmine tea/milk tea,1,0.72,1,1,2025.0,2025.0
47,Mustache Milk Tea,Local/Regional,Milk tea focused concept,Independent,MilkTea,milk tea/smoothie,1,0.72,1,1,2025.0,2025.0
48,Pochi Bubble Tea Cafe,Local/Regional,Boba + snack cafe,Independent,MilkTea,bubble tea/cafe snacks,1,0.72,1,1,2022.0,2022.0
49,Social Tea,Local/Regional,Urban tea cafe concept,Independent,PureTea,tea latte/pure tea,1,0.72,1,1,2025.0,2025.0
50,Tab Milktea,Taiwan-style,Milk tea specialist,Independent,MilkTea,milk tea/tab milktea,1,0.72,1,1,2022.0,2022.0
51,Tapioca Express,Taiwan-origin legacy chain,Classic boba chain,Franchise/select,MilkTea,classic pearl milk tea,1,0.72,1,1,2012.0,2012.0
52,Tea Talk Bubble Tea Cafe,Local/Regional,Neighborhood boba cafe,Independent,MilkTea,bubble tea,1,0.72,1,1,2022.0,2022.0
53,TeaFairy Tea House,Local/Regional,Independent tea house concept,Independent,MilkTea,milk tea/fruit tea,1,0.72,1,1,,
54,Teazzi,Unclear/likely Taiwan-style,Tea chain with fruit and milk tea mix,Franchise/select,MilkTea,milk tea/fruit tea,1,0.72,1,1,2025.0,2025.0
55,The Alley,Taiwan,Premium visual-brand milk tea and brown sugar focus,Franchise/select,MilkTea,brown sugar milk tea,1,0.72,1,1,2024.0,2024.0
56,Tiger Sugar,Taiwan,Brown sugar boba specialist,Franchise/select,MilkTea,brown sugar boba,1,0.72,1,1,2023.0,2023.0
57,UG Tea,Mainland China,New-style tea chain,Partner/store growth,PureTea,pure tea/fruit tea,1,0.72,1,1,2020.0,2020.0
58,Xing Fu Tang,Taiwan,Brown sugar boba specialist,Franchise/select,MilkTea,brown sugar boba milk,1,0.72,1,1,2025.0,2025.0
59,Yan Tea,Local/Regional,Tea-focused independent concept,Independent,PureTea,pure tea/milk tea,1,0.72,1,1,2024.0,2024.0
